Excgflg,Mktflg,Date,Rmrf,Smb,Hml
0,A,2009/7/28,0.0059,0.0045,0.0039
0,A,2009/7/29,-0.0527,-0.0039,0.0036
0,A,2009/7/30,0.0195,-0.0003,0.0086
0,A,2009/7/31,0.0281,-0.0026,0.0027
0,A,2009/8/3,0.016,-0.0011,0.0078
0,A,2009/8/4,0.0022,-0.0004,0.0008
0,A,2009/8/5,-0.0073,0.0073,-0.0058
0,A,2009/8/6,-0.0187,0.0036,-0.012
0,A,2009/8/7,-0.0295,0.0068,-0.0099
0,A,2009/8/10,0.0007,0.0059,-0.0024
0,A,2009/8/11,0.0047,0.0009,-0.0032
0,A,2009/8/12,-0.0445,-0.0054,-0.0052
0,A,2009/8/13,0.0078,-0.0055,0.0071
0,A,2009/8/14,-0.0333,-0.0179,0.0005
0,A,2009/8/17,-0.0633,-0.0004,-0.0048
0,A,2009/8/18,0.013,-0.0016,0.0041
0,A,2009/8/19,-0.0475,-0.0032,-0.0139
0,A,2009/8/20,0.0399,-0.0009,0.0032
0,A,2009/8/21,0.0213,0.0072,-0.0018
0,A,2009/8/24,0.0113,0.0097,-0.0032
0,A,2009/8/25,-0.0294,0.0113,-0.0065
0,A,2009/8/26,0.0234,0.0094,0.0031
0,A,2009/8/27,0.0012,0.0107,-0.0063
0,A,2009/8/28,-0.0311,0.0024,-0.0043
0,A,2009/8/31,-0.0712,0.0048,-0.0141
0,A,2009/9/1,0.0019,-0.0042,0.0022
0,A,2009/9/2,0.0121,0.0008,0.0018
0,A,2009/9/3,0.0515,-0.0088,0.008
0,A,2009/9/4,0.0101,0.0047,-0.0063
0,A,2009/9/7,0.0095,0.0036,-0.0089
0,A,2009/9/8,0.0197,-0.0069,0.0025
0,A,2009/9/9,0.0062,-0.0047,0.0097
0,A,2009/9/10,-0.0098,-0.0005,-0.0006
0,A,2009/9/11,0.0227,-0.0004,-0.0023
0,A,2009/9/14,0.0188,0.0053,-0.0052
0,A,2009/9/15,0.0046,0.0072,0.0034
0,A,2009/9/16,-0.0088,0.0145,-0.0065
0,A,2009/9/17,0.0199,0.006,0.0028
0,A,2009/9/18,-0.0346,0.0034,-0.0081
0,A,2009/9/21,0.0069,0.0078,-0.0111
