"Stkcd","Alpha_2009/1","Alpha_2009/2","Alpha_2009/3","Alpha_2009/4","Alpha_2009/5","Alpha_2009/6","Alpha_2009/7","Alpha_2009/8","Alpha_2009/9","Alpha_2009/10","Alpha_2009/11","Alpha_2009/12","Alpha_2010/1","Alpha_2010/2","Alpha_2010/3","Alpha_2010/4","Alpha_2010/5","Alpha_2010/6","Alpha_2010/7","Alpha_2010/8","Alpha_2010/9","Alpha_2010/10","Alpha_2010/11","Alpha_2010/12","Alpha_2011/1","Alpha_2011/2","Alpha_2011/3","Alpha_2011/4","Alpha_2011/5","Alpha_2011/6","Alpha_2011/7","Alpha_2011/8","Alpha_2011/9","Alpha_2011/10","Alpha_2011/11","Alpha_2011/12","Alpha_2012/1","Alpha_2012/2","Alpha_2012/3","Alpha_2012/4","Alpha_2012/5","Alpha_2012/6","Alpha_2012/7","Alpha_2012/8","Alpha_2012/9","Alpha_2012/10","Alpha_2012/11","Alpha_2012/12","Alpha_2013/1","Alpha_2013/2","Alpha_2013/3","Alpha_2013/4","Alpha_2013/5","Alpha_2013/6","Alpha_2013/7","Alpha_2013/8","Alpha_2013/9","Alpha_2013/10","Alpha_2013/11","Alpha_2013/12"
620,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.73653512889265,-0.00463600145944769,0.000639715169564645,-0.00666431757214108,0.0154483967317025,-0.00560671025381826,-0.00202994582089602,0.000178829717196819,-0.00296689531444086,0.0129925924002903,-0.000821763587321488,-0.00317337203114117,0.00215597552880708,-0.00128467761293821,-0.00216777879191728,-0.00151178170738346,0.00541718524809431,0.00321310428392589,-0.00408350112158889,0.000812956595636026,-0.0010339085155283,0.00265281962498542,-0.00101725214483206,0.00258657951443937,-0.00199118526298958,-0.000454932375029495,-0.00154619855423351,0.00402751019035691,-0.000802026496084173,0.00147842825142185
622,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00237589619260787,-0.00361484360303813,0.00139908666583527,-0.00373185222843759,-0.00362139165548282,0.00111557104315427,0.00122686691197803,-0.00701019895939743,-0.000252316930657249,-0.0019373279708974
623,0.0120248564939168,-0.00363965307305954,0.00368153669981701,-0.00292183920849365,0.00405646706426144,0.000514523471311385,0.0089120223888808,-0.00414607152967694,-0.000486347760547486,0.00321273318715154,-0.00417894173998141,0.00256274079890568,0.00519400192704561,-0.00189856005801253,-0.00418006846210438,-0.00414980157188286,7.73214295022098e-05,-0.00146065154687815,-0.00280170630500848,-0.00430975929558304,-0.000945341183181776,0.0103495482654118,-0.00318447581997844,-0.000533853153696843,-4.41864460455479e-05,-0.000153678107751248,-0.0033504245582472,0.00551456978055703,0.00405668331976276,0.00143724472923951,-0.000712618125814674,0.000432619615213971,0.00294257202875566,0.00177792692089671,-0.00101525485225707,-0.00707436083234854,0.00453782710687048,-0.000831750045207265,-0.00128242140975458,0.00152245854735397,-0.00291296643147425,0.000975069666888879,0.00203081585251468,-0.00324051714426311,-1.21420559620875e-05,-0.0021561963212627,-0.000688356843098911,0.00289356350746497,0.00146363961576013,0.00664999412167177,-0.00347524188103747,-0.000696763145229342,-0.00233064520693746,-0.00110243084100624,0.00213605573497995,8.1468789716278e-05,-0.00301205097534494,0.00252563233858807,-0.00200304913760645,0.000804282381355452
625,NA,NA,-0.0055160534625047,-0.00106748509164483,0.00502796603982558,-0.0100585080214645,0.0132074452493363,0.00657410877299305,0.00110953786462668,0.0124644652945762,-0.00147979330257341,-0.000621801367104837,-0.00215847294809545,-0.000166656248923933,-0.00271209574094884,0.00113417844449436,-0.00141164211891704,-0.00171678824180013,0.000332904879202333,-0.000896378981751973,0.00123336010329394,-0.000806093599080777,-0.00506548956182343,-0.00695916536496911,0.00431700429960768,-0.00509555567770277,-0.00220347091318274,0.00420992921779789,-0.00213916314461574,0.000224447656929683,-0.000233706472078423,-0.00407017000487966,0.00520315687202205,NA,NA,-0.00477631013981399,0.00551511693701321,0.00249931112914746,-0.000151984036467507,0.00403586592969882,0.00468969323685822,-0.00410667980403634,0.00644576368327816,-0.00171422729663414,0.00412889990042436,0.00169068872367468,0.0012398757702448,0.0081043478707604,0.00654699680557993,0.00138833063013891,0.00656528030393311,0.010250211933825,-0.00605646722179087,0.00563044399188308,-0.00539983337783638,0.0053532510449526,-0.00285938851995758,0.00982424025373365,-0.00018094767764395,0.0023479271043751
626,-0.00446883196104887,-0.00327367200240027,0.00077000830491222,-0.00276381428409327,0.00151530948789959,0.000123771658479851,0.0101406430181687,-0.00532063920298367,-0.000949683655338865,2.62330602354381e-06,0.00153430824447244,0.00267673532925465,0.007113755796041,0.00477448096509225,-0.00344775510415596,0.00700293273750105,-0.00060597761988787,2.21306701258177e-05,0.00898781199933765,-0.000978191600278941,-0.00441011433454458,-0.00398881001630167,-0.00101596285461146,-0.00251782058987128,-0.00125133555554756,0.00137668638485331,0.0085887686173059,-0.00499708197738124,0.0287313389912916,-0.00712022127236529,0.00489846079578596,0.00386666991777562,-0.00248520319971519,-0.0016380339894719,-0.00113674949181913,-0.0033297639620322,0.00295642748116882,0.00525869692204438,-0.00219990053732143,0.00482196354147822,0.00593887245706822,0.0053068879113295,-0.0127516531850955,0.000456796820227735,0.000111833079569203,-0.00192635446330526,-0.000818191662475116,-0.00307199205343348,-0.000870656985022212,-4.65662909938827e-05,0.00484594001988902,-0.00683532287679411,0.00267525499219502,-0.00511620856661235,0.00438303847551495,0.00665175279368535,-0.00805500790049904,0.00834187952077724,-0.000940762233049476,-0.00083086610125754
627,0.0153312350296936,-0.00594937718043603,0.000102676892207195,-0.005617839558532,0.00966444600532751,-0.00712144219643138,0.00660890270601335,0.000611091306763059,-0.00504391192776564,0.00181773394053182,-0.00202392797849983,0.000803761747599618,0.00733930244624912,0.0148590354820156,0.00863756832527277,0.00219379848535277,-0.000120753597585145,-0.00587950038311126,0.00306039858855767,0.00340555693113783,-0.00457202402955952,0.00741732766436797,-0.00471453232172735,-0.00393127549305669,-0.00012420659015973,NA,-0.00242917159690385,0.00152084012380559,-0.0019422648916347,-0.00155688762550602,-0.00392082834000903,-0.00223031887765656,0.00257602042707885,0.00250452186529965,-0.00330934287695895,-0.000107127142732014,-0.0006295404981992,0.00575502309437665,-0.00222333895847412,0.00306776901742934,-0.00275155024292933,0.00561008567386644,-0.000806183850834266,-0.000737930323211952,-0.000550190881795724,0.000942035762002189,-0.00184373497168014,-0.00283888024206534,0.00964482216274238,-0.00495886132539608,-0.00220080563361042,0.00721592940357074,-0.00315049612513135,0.00014881385632123,0.000564367687180283,-0.000954156073747025,-0.00172006008656739,0.00106295143634706,-0.00111368074329361,-0.00134424826276086
628,0.00849710017661637,-0.0033772832056305,0.012637818615686,-0.00398222942806876,0.00985291400486853,0.00267894962466318,0.00830734499926769,0.00528005123488672,-0.00362751715635992,0.00785873115030602,-0.00228057426659994,0.0109541744193474,-0.00187285321825221,0.0088593127469574,0.000891267689507935,-0.00338167742919798,0.00451765189665139,0.00330737676264255,0.00321603165556342,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.0249457240671197,-0.00523979270455402,0.00393209167237466,-0.0105996040202347,0.0143364440548771,-0.00501395310523193,0.00146234397226692,-0.0081370628166671,0.0155711577291787,0.00558801471190359,-0.000952686476237073,0.000154520357249117,0.00305549978591619,-0.00165059182322658,-0.00152812553360944,-0.000236213537921217,-0.00466362862239506,0.00292620395194268,-0.00243641834733051,-0.00128223655277511,0.00824889260229358,-0.00693762844158451,-0.00120564256811351,0.010761228152706,-0.00176302866951698
629,0.00116704612215544,0.00166265624173286,0.000343617242667299,0.000997095473417384,-0.0105939394945864,-0.00192745272701729,-0.00189158757789232,0.0028194415847584,-0.00259870258999649,-0.00118807229004574,-0.00049716458469138,-0.00196379140378127,0.00454282841650049,0.00307566795334255,-0.00134452998854107,0.000788894755676649,-0.000678415097948217,-0.000935544306304269,0.00171526539287923,-0.000576761171361067,0.00189395930160062,-0.000304944548108384,NA,0.0239257261590145,0.00354719832586573,0.000864414109177299,0.00250355237375786,0.000387997543384511,-0.00640520120476328,0.000107558161663472,0.0051459398661984,-0.00624481496386791,-0.000683101007017615,-0.00950910184118797,-0.00254361543561341,0.00518425466842306,0.00261546031015896,NA,0.000439747763381501,0.00784466066552861,0.00142979199781017,-0.0149203008339457,-0.00230012971600578,0.00383347009995842,-0.00108152359754406,0.000208538921305,-0.00167186716733772,0.00265023856038567,-0.00476761913416292,-0.00601636318480303,-0.0023127889481737,-0.00328921618775008,-0.00225711552917311,-0.00783636173317542,-0.00471647804223572,0.00308380064532631,-0.0028242791368318,-0.0016166583046665,-0.000249103434980988,-0.00183035960546549
630,-0.000676719651702636,0.00426503438829452,0.00929602006032551,0.00398691340545701,0.0120148610691054,-0.00329117287556942,-0.00387314656651536,-0.00211366752495474,-0.00309816653757631,-0.00476714196564105,0.00551776615292553,-0.00168489706160522,-0.00625145473064817,-0.00367466206438025,-0.00117630547045164,0.0032357639462931,-0.00214369157419711,0.00120276435704497,0.00289579138415256,-0.00141884156821602,0.00382473194815297,-0.00213786248996014,0.000474226151363118,0.0145295613873677,-0.00805006131554621,-0.00392838754966538,-0.00246322658965143,-0.00333231055517354,-0.00137869245830857,0.000608074796363869,0.00625025805187423,-0.00400023398520223,0.000227843578369815,0.00141304298807602,-0.00249357553652691,0.00733272820430678,0.009678467895457,-0.00273154840967599,-0.00249326903057193,0.00181816795227607,-1.21367168076807e-05,-0.000275182630575894,-0.000945144392733909,5.92612599492669e-05,0.00666062406703672,-0.00528840685505334,0.00216235561887594,-0.00213810224514907,-0.000405285606134349,-0.00680865924666007,-0.00210650239106607,-0.00402173307883369,-0.00541844259011188,-0.00768330227030463,-0.00285177265239406,0.000282059501568933,-0.0018104676419873,-0.00382508834605967,-0.00177672899732456,-0.00160719484893802
631,NA,NA,NA,NA,NA,1.47021174415484,0.00572055167817125,0.000164414685231718,-0.00372146941589135,-0.00430859771891547,0.00451409353698545,-0.00588455583546307,-0.00589690239091981,0.00587775909919763,-0.00280537773089527,-0.00650493549960239,-0.000401775922493686,0.00130444755072842,0.00118703128172717,-0.00373942928956985,0.000306417144306784,-0.00244235111901538,-0.0106982902002749,0.00633150329540678,0.0049484230217901,-0.00566475033074727,0.00301925938805312,-0.00497959629830254,0.000940784322572403,0.000637888174189149,-0.000775767211963285,0.000747327918492603,-0.000501578260845359,0.00249844825076716,-0.0053059583322734,0.000297463205570537,-0.00197364444808483,0.00747452966984081,0.0046132531754855,0.000985595037579092,-0.00146575740800034,-0.0019315007891919,3.01880198803029e-06,-0.00076135386316903,-0.00397738983621022,0.0059333195440519,0.0214680559275496,0.0122036170481278,-0.00918038076115211,-0.00042187103661364,-0.00491428060273017,0.000676890969824229,-8.84514570917803e-05,-0.00168318401160206,0.00183087207389917,-0.000893473742332201,0.00356526097317457,-0.00552914970607875,-0.00148373508773064,-0.00168492606490762
632,0.00011038837592926,0.0030204068201288,0.00120483934930092,0.00129756178340773,0.0105942587401107,-0.00822322332933725,-0.00632483508858497,0.00232808004812349,-0.00189657105611196,0.0111121965095072,-0.000939221368750839,-0.00136427136035098,0.00745417303803574,0.0290893636446256,-0.00998663725063093,-0.00616510738213352,0.0125454307327699,0.00644498239183154,-0.00548923938860261,-0.0034825184866814,-0.00361080680352072,0.000184321412229408,-0.00245040854400398,-0.00487588963898439,-0.00135095310202933,0.00275063222279907,0.000755216340167834,0.000938056733427144,0.00360982838627377,-0.0015170463714659,0.000605164635533804,0.000996883957869325,-0.000825332647818354,-0.00679198651901653,-0.000973473154031153,-0.00255667164903347,0.00189133566438578,-0.000772327276557292,-0.000220016447258605,0.00575586852825133,-0.00163066452346294,-0.00238809971620675,0.00155400467678863,0.00301843366784616,-0.000290670202047758,0.00195606821898008,0.00430254160314981,-0.000798855643555996,-0.0041119087333094,0.000274302059958549,0.00313202664974275,0.000405695702976236,-0.001952224598516,0.00199170307013835,0.00561093651888077,0.00336261387157619,-0.00103495628711054,0.00317197713038481,0.00736543836006229,-0.00407853635157134
633,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.00751132166489431,-0.00560615613220262,0.00285721339978433,-1.50443771782213e-06,-0.000925073500046494,-0.0072216165744379,0.000576632892920936,-0.000776793880271551,-2.75978748075087e-05,0.0060712502898539,-0.00256023358125379,0.0058999950083389,-0.00119159919045406,-0.00164223426885724,0.00143768842240428,-0.00388593613913564,0.00782895134078791,0.00190218442353562,-0.000737344612097179,0.00286381071463308,0.00295989079227585,0.00054995108532034,-0.00682802046438128,0.00152096153603961,-0.0174084988474852,0.00531591919790929,0.00336317621266582,0.00280678971618898,-0.0081379679282201,0.00220772541450932,0.00187369118754033,-0.0105143248052212,0.0021524826810195,-0.0010163629746804,0.00855633880636527,-0.00104464729204254,-0.00177247123882624,0.000511750500712192,0.00226366247317385,0.00626919430487544,0.00151582108922353,-0.0035266278831029,0.00152249467453461,-0.00070384452669104,-0.00165615332313549,-0.00214575317679494,-0.00332821959214121,-0.00228427372041944,-0.00190629798796502
635,0.00179416784109093,-0.0031048224835089,6.94115066315839e-05,-0.00205242747222083,-0.00280450705719302,0.00104942336387279,0.0143864428601795,-0.00434752779184795,-0.0141175844747919,-0.000182922075932851,0.00204307490142177,0.00180190636604636,0.00358460918917961,-0.00467235213813749,-0.00526196773992289,-0.00337731523824077,-0.00338055802936295,-0.000394571874216975,0.00530120085351321,0.00122207108114224,-0.00186733061082408,0.00666515589730613,-0.0019516655034896,0.00441356155579266,-0.00167620553766141,0.00821913220350328,-0.000756356118143307,0.0134256601320012,0.00160047212569594,0.00158394703358789,-0.00146022807814084,0.00185669676981682,-0.00039971976314415,-0.00252454297927669,-0.00107680250559337,0.00501290529075338,0.00173159070397594,0.00148371548828892,-0.00364660071699978,-0.00360537926254946,-0.00149753338450745,-0.00564220723122489,-0.00110744388173203,0.000524149513853325,-0.00202627027330296,0.000113159173751318,-0.00255335176497643,0.00230851948909527,-0.00235442381646541,-0.00194741563579693,0.000169358109820131,-0.00278659708722782,0.000454550866027301,-0.00437911471744621,0.00237159637245551,0.00154811589398284,-0.00205949289718565,0.00654932425768615,-0.00070008273073938,0.00333922715787781
636,0.00358029583971139,0.00352163545998148,0.00393435038825541,0.00100334761752798,0.00717153978941944,-0.0019519757065865,0.00140320181726911,0.0127603759640099,-0.00102759264271162,0.00224379067243646,0.000967654170943057,-0.00128433981740935,0.00152370383480381,-0.000986023857033478,0.0014161683146161,0.0098727657919605,0.00425248526010449,0.00715484495096927,0.00868953606611937,-0.00767639592983143,-0.00390978208862878,0.0061309046254931,0.000667242094914765,-0.00181237409362916,-0.00510613901415027,0.00206605025970087,0.00200817375604107,-0.00368548357160261,0.00544771533096841,-0.00344687094693485,0.0014023758116469,-0.00323286936894593,-0.00144453824304387,-0.00304426005107521,0.00231779749964943,-0.000422395092675836,-3.16426236867002e-05,0.00450179547157301,0.00112479556311941,-0.00438505310237385,0.00686326421964591,-0.00617440186460339,-0.000464080324032868,0.00511324019060692,-0.00208919600658318,-0.000788880854142326,-0.0040196680598245,0.00103233806949223,0.00344196714619237,-0.00164541628825153,0.00349016877123372,-0.00668808560499026,0.00327700466811583,-0.0021696875808641,0.000813156749573223,0.000144901255645523,-0.00370039779864883,-0.00349243432305639,0.00091862788439032,0.00188279832535022
