Stkcd,Stknme,EPS,CFOPS,NAPS,DAR,EM,CAR,CLR,GP,NPM,ROE,ROTA,CR,QR,ER,IT,ART,CAT,FAT,TTC,Nnindcd,WindInd
600711,盛屯矿业,0.08,0.1588,3.2508,47.3531,1.8994,17.5307,52.8937,7.7418,0.7247,1.7813,0.5451,0.6999,0.6839,0.9636,119.2591,29.1766,3.5817,4.9205,0.7522,CSRC有色金属矿采选业,Wind材料Ⅱ
600712,南宁百货,0.1183,-0.0073,1.9672,49.014,1.9613,29.418,98.6938,15.9543,2.4387,6.1283,3.2533,0.6081,0.4617,0.9613,16.3853,1072.5054,4.0591,3.2557,1.334,CSRC零售业,Wind零售业
600713,南京医药,0.016,0.2425,1.4405,85.7626,7.0238,84.2851,96.3356,7.5642,-0.0287,1.1164,-0.0567,1.0202,0.8497,7.9204,12.2069,5.7364,2.3299,35.1189,1.9751,CSRC零售业,Wind医疗保健设备与服务
600714,金瑞矿业,0.04,0.2353,1.5763,67.3441,3.0622,32.8018,56.4999,29.9128,2.2577,2.8043,0.9635,0.8621,0.6938,2.0622,4.8958,40.0322,1.5433,0.8423,0.4268,CSRC煤炭开采和洗选业,Wind能源Ⅱ
600715,松辽汽车,0.02,-0.2167,0.1656,85.6398,6.9637,39.4899,44.5362,7.2387,4.6053,16.141,2.2882,1.0354,0.8447,5.9637,11.7405,5.0107,1.4896,1.2704,0.4969,CSRC汽车制造业,Wind汽车与汽车零部件
600716,凤凰股份,0.1023,0.0125,2.449,71.6091,3.5223,87.5695,87.4836,45.4162,4.1213,4.2746,1.1024,1.3978,0.3284,2.6916,0.2161,1367.8942,0.2946,111.5272,0.2675,CSRC房地产业,Wind房地产
600717,天津港,0.6,0.9946,7.1267,37.8942,1.6102,26.4715,58.9521,23.3838,10.4017,8.7247,5.8123,1.185,1.1262,0.8103,29.0374,7.0676,2.1504,1.2126,0.5588,CSRC水上运输业,Wind运输
600718,东软集团,0.37,0.2584,4.1702,38.3048,1.6209,55.2882,71.9915,32.0461,6.2609,9.3182,5.3056,2.0049,1.6505,0.6361,6.6798,5.4199,1.6428,4.3547,0.8474,CSRC软件和信息技术服务业,Wind软件与服务
600719,大连热电,0.014,0.3827,3.5316,51.2166,2.0499,40.0757,100,13.1005,0.4201,0.3949,0.1925,0.7825,0.6538,1.0499,6.5885,3.0237,1.1728,0.823,0.4581,CSRC电力、热力生产和供应业,Wind公用事业Ⅱ
600720,祁连山,0.27,1.1291,6.2033,59.8919,2.4933,24.9489,65.5717,21.2022,4.0823,5.294,1.839,0.6353,0.4563,1.6378,4.7626,8.1098,1.5882,0.9504,0.4505,CSRC非金属矿物制品业,Wind材料Ⅱ
600721,百花村,0.0761,1.2721,3.5023,75.0062,4.001,19.5407,66.8617,35.0801,3.7503,2.1943,0.9506,0.3896,0.2468,3.5194,2.98,15.2106,1.3418,0.4325,0.2535,CSRC石油加工、炼焦和核燃料加工业,Wind能源Ⅱ
600722,金牛化工,0.2118,-0.8184,1.9005,49.0951,1.9644,41.9335,99.9911,4.4951,5.3229,28.2202,4.3107,0.8542,0.7112,0.9769,8.4573,1582.9938,2.4761,1.7513,0.8098,CSRC化学原料和化学制品制造业,Wind材料Ⅱ
600723,首商股份,0.604,1.2787,4.0357,49.7069,1.9883,80.1487,99.1504,21.255,4.868,16.188,10.0732,1.6262,1.5002,1.153,26.258,145.1656,2.6236,24.0865,2.0693,CSRC零售业,Wind零售业
600724,宁波富达,0.2409,1.0084,2.4639,79.1601,4.7985,83.7543,73.23,43.5548,10.3083,10.0639,2.5791,1.4448,0.2716,4.761,0.2064,52.1616,0.2997,6.7358,0.2502,CSRC房地产业,Wind房地产
600725,云维股份,-1.9,-0.4822,2.2581,88.6787,8.8329,29.5365,68.2944,-0.2478,-19.4219,-59.9823,-9.3435,0.4877,0.3626,10.1938,5.8326,22.8788,1.6304,1.1385,0.4811,CSRC石油加工、炼焦和核燃料加工业,Wind材料Ⅱ
600726,华电能源,-0.2314,0.858,1.5126,84.7914,6.5752,19.6032,47.4167,7.6884,-4.1804,-14.5864,-1.9879,0.4876,0.4256,6.7001,19.0682,13.1508,2.7707,0.6391,0.4755,CSRC电力、热力生产和供应业,Wind公用事业Ⅱ
600727,鲁北化工,0.05,0.27,2.8775,22.7663,1.2948,34.5801,100,16.4038,2.1932,1.8033,1.3954,1.5189,0.8602,0.2948,3.3446,71.439,1.4973,1.43,0.6362,CSRC化学原料和化学制品制造业,Wind材料Ⅱ
600728,佳都科技,0.254,0.2542,2.4043,38.0837,1.6151,87.4756,87.3437,19.4126,7.1999,9.704,5.3633,2.6298,2.4812,0.6151,9.2446,2.9769,0.8806,11.662,0.7449,CSRC软件和信息技术服务业,Wind软件与服务
600729,重庆百货,1.85,2.9586,8.8601,69.1446,3.2409,72.4918,100,14.9681,2.4914,23.3081,6.7208,1.0484,0.807,2.2572,12.876,1024.0832,3.6512,13.3408,2.6976,CSRC零售业,Wind零售业
