section,test1,test2,test3,hw1,hw2,hw3,hw4,hw5,hw6,hw7,hw8,hw9,hw10,hw11,quiz1,quiz2,quiz3,quiz4,quiz5,quiz6,quiz7,quiz8,quiz9,quiz10,quiz11,quiz12,quiz13,project1,project2,final
3,45,51,64,2,9,5,9,9,8,12,14.4,6.3,16,28,3,1,6,6,8,5,5,10,8,9,10,,6,F-,A-,62
2,45,82,91,2,11.7,9,9,5,8,12,15,4.7,15,28,10,10,10,9,8,10,8,10,10,10,10,8,9,B,B,66
1,39,68,64,2,10,8.5,11,8,6,13,7,7.7,16,25,9,10,10,10,6,7,3,8,4,10,6,5,10,B,C-,86
2,79,96,84,2,12,9,10,10,8,13,17,9,16,30,8,10,9,10,10,9,10,10,10,10,10,10,10,A-,A+,87
1,79,82,100,2,12,9,11,10,8,12,16.8,8.7,16,28,8,9,9,10,9,10,8,10,10,10,10,9,10,A+,B+,112
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0
2,46,65,68,0,11.5,9,11,9,8,6.5,5.5,3,10,28,0,10,0,0,8,6,7,10,0,10,0,6,8,A-,C+,54
2,76,94,97,2,12,9,11,10,8,13,17,9,16,28,10,9.5,10,8.5,10,9,10,10,10,10,10,10,9,B+,A-,105
1,41,40,0,2,10.7,8.7,8,7,7,9,0.5,0,0,0,6,2,7,8,8,0,0,5,9,0,10,0,0,,C+,0
2,69,89,90,2,12,9,10,10,8,13,17,9,16,28,10,10,10,10,10,10,9,10,10,10,10,10,10,C,C-,95
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0
1,100,85,91,2,12,9,8,10,8,13,17,9,16,30,10,10,10,10,3,10,9,8,10,10,10,10,7,B+,A+,112
1,65,56,63,2,8.7,9,0,5,0,10,11.1,0,14.2,20,7,10,9.5,0,0,0,10,0,10,0,0,0,0,A-,B+,89
2,91,92,94,2,12,9,9,10,8,12,15.4,9,16,26,10,9,10,10,9,10,10,9,9,10,10,7,10,B,A+,95
1,11,72,74,2,8,7.3,8,8,8,8.5,15.4,6.7,16,23,9,5,6,9,10,8,5,9,9,10,9,7,0,B-,B-,51
1,47,55,71,2,12,8.8,11,10,8,8.5,17,6.7,16,27,10,0,8,10,10,10,5,10,10,10,10,10,10,A-,B,64
2,61,73,79,2,11,8.3,8,9,8,13,7,7,16,28,10,7,9,7,8,8,4,10,8,10,7,5,10,B-,B-,98
3,87,65,93,2,11.7,8.8,9,10,8,9,15.4,7.8,16,21,9,9,5,0,9,10,4,7,9,,9,10,7,B+,A+,102
3,66,87,89,2,8.7,9,5,9,8,13,17,6.7,16,23,10,9,10,7,10,9,9.5,9,10,10,9.5,10,10,A-,A+,85
2,23,98,75,2,11.7,7.2,9,9,8,12,14,8.3,16,17,10,9,10,10,9,7,4,5,10,10,0,9,10,D,D,87
3,83,88,95,2,11,7.7,9,8,7,13,17,7.7,16,26,7,10,10,10,10,6,8,7,8,6,8,8,,C+,C-,83
3,63,66,98,2,11.7,9,10,10,8,13,17,6.7,16,28,10,10,10,10,8,8,8,7,10,10,7,7,10,C+,A-,88
3,82,93,101,2,10.3,9,11,10,8,13,17,9,13.5,28,10,10,10,10,10,7,10,8,9,10,10,9,10,A+,A+,87
2,23,39,0,2,8.3,5.3,0,9,4,11,0,0,0,28,0,10,9,7,10,10,5,0,10,0,0,0,0,A+,,0
2,75,99,75,2,12,9,9,9,8,13,17,9,15,17,9,10,10,10,10,9,10,10,10,10,0,10,10,A-,B,107
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0
1,97,100,101,2,12,9,11,10,8,12,16.8,9,16,28,10,10,10,10,10,9,9,6,10,10,10,10,10,B,A-,101
3,57,64,57,2,9.7,9,8,8,7,8.5,11.2,6.7,16,,8,10,10,10,10,10,10,10,5,10,10,10,9,B+,A+,71
2,84,98,97,2,12,9,8,9,8,13,17,9,16,30,9,9,10,10,10,9,10,10,9,10,10,10,10,B+,B+,94
1,81,92,89,2,12,9,11,10,8,13,17,9,16,28,10,10,10,10,10,10,10,10,10,10,10,10,10,A+,A+,108
3,33,63,69,2,6.3,8.5,10,9,8,13,9.5,4.7,16,21,10,9,10,10,10,10,10,10,10,0,10,10,0,A+,A-,52
1,36,73,89,2,7.7,9,9,10,8,12,16.4,4,16,30,9,10,0,0,10,9,0,9,10,10,10,9,10,B,B,99
1,54,54,74,2,1,0,1,0,0,7,0,5,0,28,7,8,10,10,8,10,6,9,10,0,10,9,9,A-,C-,55
3,35,33,0,2,10,4.5,8,10,6,6.7,0,0,0,28,6,10,6,10,10,8,6,10,7,,,,,A+,,0
3,62,51,86,2,10.3,9,1,8,7,7.8,14.8,4,0,27,6,10,,10,10,8,9,6,10,,10,9,8,B+,A-,56
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0
2,43,80,77,2,10,8,3,8,8,9,11.9,5.7,13.2,23,10,10,7,9,9,8,8,7,0,10,8,10,10,A+,C+,59
2,74,95,73,2,12,9,11,10,8,13,17,6.7,16,30,10,10,10,9,10,9,9,10,10,10,10,10,10,B-,B,99
1,39,50,53,2,8.7,7.3,8,7,7,8.5,8.7,3.7,14,22,7,7,7,8,10,9,6,8,6,10,9,4,9,A-,C+,45
3,47,81,81,2,8.7,8.7,9,9,8,13,17,6.5,10.5,26,8,9,8,10,10,10,4,10,10,9,10,10,10,B-,C+,80
2,55,73,83,2,11.7,8.8,9,8,7,10,15.8,7.7,15.5,23,7,10,10,9,10,9,4,7,8,10,10,7,7,A+,A+,54
