STATION,STATION_NAME,ELEVATION,LATITUDE,LONGITUDE,DATE,PRCP,TMAX,TMIN
GHCND:USW00023050,ALBUQUERQUE INTERNATIONAL AIRPORT NM US,1511.8,35.08333,-106.65,19310522,0,267,72
GHCND:USW00023050,ALBUQUERQUE INTERNATIONAL AIRPORT NM US,1511.8,35.08333,-106.65,19310523,10,278,111
GHCND:USW00023050,ALBUQUERQUE INTERNATIONAL AIRPORT NM US,1511.8,35.08333,-106.65,19310524,0,300,117
GHCND:USW00023050,ALBUQUERQUE INTERNATIONAL AIRPORT NM US,1511.8,35.08333,-106.65,19310525,0,300,111
GHCND:USW00023050,ALBUQUERQUE INTERNATIONAL AIRPORT NM US,1511.8,35.08333,-106.65,19310526,0,278,111
GHCND:USW00023050,ALBUQUERQUE INTERNATIONAL AIRPORT NM US,1511.8,35.08333,-106.65,19310527,0,250,94
GHCND:USW00023050,ALBUQUERQUE INTERNATIONAL AIRPORT NM US,1511.8,35.08333,-106.65,19310528,0,256,94
GHCND:USW00023050,ALBUQUERQUE INTERNATIONAL AIRPORT NM US,1511.8,35.08333,-106.65,19310529,0,283,83
GHCND:USW00023050,ALBUQUERQUE INTERNATIONAL AIRPORT NM US,1511.8,35.08333,-106.65,19310530,0,239,128
GHCND:USW00023050,ALBUQUERQUE INTERNATIONAL AIRPORT NM US,1511.8,35.08333,-106.65,19310531,0,283,89
GHCND:USW00023050,ALBUQUERQUE INTERNATIONAL AIRPORT NM US,1511.8,35.08333,-106.65,19310601,0,311,122
GHCND:USW00023050,ALBUQUERQUE INTERNATIONAL AIRPORT NM US,1511.8,35.08333,-106.65,19310602,0,311,122
GHCND:USW00023050,ALBUQUERQUE INTERNATIONAL AIRPORT NM US,1511.8,35.08333,-106.65,19310603,0,300,133
GHCND:USW00023050,ALBUQUERQUE INTERNATIONAL AIRPORT NM US,1511.8,35.08333,-106.65,19310604,0,278,156
GHCND:USW00023050,ALBUQUERQUE INTERNATIONAL AIRPORT NM US,1511.8,35.08333,-106.65,19310605,0,306,122
GHCND:USW00023050,ALBUQUERQUE INTERNATIONAL AIRPORT NM US,1511.8,35.08333,-106.65,19310606,0,322,111
GHCND:USW00023050,ALBUQUERQUE INTERNATIONAL AIRPORT NM US,1511.8,35.08333,-106.65,19310607,0,311,106
GHCND:USW00023050,ALBUQUERQUE INTERNATIONAL AIRPORT NM US,1511.8,35.08333,-106.65,19310608,23,250,156
GHCND:USW00023050,ALBUQUERQUE INTERNATIONAL AIRPORT NM US,1511.8,35.08333,-106.65,19310609,0,250,106
GHCND:USW00023050,ALBUQUERQUE INTERNATIONAL AIRPORT NM US,1511.8,35.08333,-106.65,19310610,0,272,89
GHCND:USW00023050,ALBUQUERQUE INTERNATIONAL AIRPORT NM US,1511.8,35.08333,-106.65,19310611,0,306,100
GHCND:USW00023050,ALBUQUERQUE INTERNATIONAL AIRPORT NM US,1511.8,35.08333,-106.65,19310612,0,322,133
GHCND:USW00023050,ALBUQUERQUE INTERNATIONAL AIRPORT NM US,1511.8,35.08333,-106.65,19310613,0,311,128
GHCND:USW00023050,ALBUQUERQUE INTERNATIONAL AIRPORT NM US,1511.8,35.08333,-106.65,19310614,0,328,117
GHCND:USW00023050,ALBUQUERQUE INTERNATIONAL AIRPORT NM US,1511.8,35.08333,-106.65,19310615,0,328,150
GHCND:USW00023050,ALBUQUERQUE INTERNATIONAL AIRPORT NM US,1511.8,35.08333,-106.65,19310616,0,328,156
GHCND:USW00023050,ALBUQUERQUE INTERNATIONAL AIRPORT NM US,1511.8,35.08333,-106.65,19310617,0,339,150
GHCND:USW00023050,ALBUQUERQUE INTERNATIONAL AIRPORT NM US,1511.8,35.08333,-106.65,19310618,0,333,122
GHCND:USW00023050,ALBUQUERQUE INTERNATIONAL AIRPORT NM US,1511.8,35.08333,-106.65,19310619,0,333,122
GHCND:USW00023050,ALBUQUERQUE INTERNATIONAL AIRPORT NM US,1511.8,35.08333,-106.65,19310620,0,344,122
GHCND:USW00023050,ALBUQUERQUE INTERNATIONAL AIRPORT NM US,1511.8,35.08333,-106.65,19310621,0,344,161
GHCND:USW00023050,ALBUQUERQUE INTERNATIONAL AIRPORT NM US,1511.8,35.08333,-106.65,19310622,0,339,183
GHCND:USW00023050,ALBUQUERQUE INTERNATIONAL AIRPORT NM US,1511.8,35.08333,-106.65,19310623,0,328,167
GHCND:USW00023050,ALBUQUERQUE INTERNATIONAL AIRPORT NM US,1511.8,35.08333,-106.65,19310624,0,339,172
GHCND:USW00023050,ALBUQUERQUE INTERNATIONAL AIRPORT NM US,1511.8,35.08333,-106.65,19310625,0,350,189
GHCND:USW00023050,ALBUQUERQUE INTERNATIONAL AIRPORT NM US,1511.8,35.08333,-106.65,19310626,3,350,194
GHCND:USW00023050,ALBUQUERQUE INTERNATIONAL AIRPORT NM US,1511.8,35.08333,-106.65,19310627,0,339,189
GHCND:USW00023050,ALBUQUERQUE INTERNATIONAL AIRPORT NM US,1511.8,35.08333,-106.65,19310628,0,311,200
GHCND:USW00023050,ALBUQUERQUE INTERNATIONAL AIRPORT NM US,1511.8,35.08333,-106.65,19310629,97,294,172
GHCND:USW00023050,ALBUQUERQUE INTERNATIONAL AIRPORT NM US,1511.8,35.08333,-106.65,19310630,13,272,172
GHCND:USW00023050,ALBUQUERQUE INTERNATIONAL AIRPORT NM US,1511.8,35.08333,-106.65,19310701,0,300,167
GHCND:USW00023050,ALBUQUERQUE INTERNATIONAL AIRPORT NM US,1511.8,35.08333,-106.65,19310702,0,261,178
GHCND:USW00023050,ALBUQUERQUE INTERNATIONAL AIRPORT NM US,1511.8,35.08333,-106.65,19310703,0,283,189
GHCND:USW00023050,ALBUQUERQUE INTERNATIONAL AIRPORT NM US,1511.8,35.08333,-106.65,19310704,0,306,183
GHCND:USW00023050,ALBUQUERQUE INTERNATIONAL AIRPORT NM US,1511.8,35.08333,-106.65,19310705,0,300,167
GHCND:USW00023050,ALBUQUERQUE INTERNATIONAL AIRPORT NM US,1511.8,35.08333,-106.65,19310706,0,350,144
GHCND:USW00023050,ALBUQUERQUE INTERNATIONAL AIRPORT NM US,1511.8,35.08333,-106.65,19310707,0,317,194
GHCND:USW00023050,ALBUQUERQUE INTERNATIONAL AIRPORT NM US,1511.8,35.08333,-106.65,19310708,0,322,178
GHCND:USW00023050,ALBUQUERQUE INTERNATIONAL AIRPORT NM US,1511.8,35.08333,-106.65,19310709,0,322,150
GHCND:USW00023050,ALBUQUERQUE INTERNATIONAL AIRPORT NM US,1511.8,35.08333,-106.65,19310710,0,328,150
GHCND:USW00023050,ALBUQUERQUE INTERNATIONAL AIRPORT NM US,1511.8,35.08333,-106.65,19310711,0,350,156
GHCND:USW00023050,ALBUQUERQUE INTERNATIONAL AIRPORT NM US,1511.8,35.08333,-106.65,19310712,0,350,178
GHCND:USW00023050,ALBUQUERQUE INTERNATIONAL AIRPORT NM US,1511.8,35.08333,-106.65,19310713,0,372,189
GHCND:USW00023050,ALBUQUERQUE INTERNATIONAL AIRPORT NM US,1511.8,35.08333,-106.65,19310714,0,361,178
GHCND:USW00023050,ALBUQUERQUE INTERNATIONAL AIRPORT NM US,1511.8,35.08333,-106.65,19310715,0,361,194
GHCND:USW00023050,ALBUQUERQUE INTERNATIONAL AIRPORT NM US,1511.8,35.08333,-106.65,19310716,0,361,200
GHCND:USW00023050,ALBUQUERQUE INTERNATIONAL AIRPORT NM US,1511.8,35.08333,-106.65,19310717,74,317,189
GHCND:USW00023050,ALBUQUERQUE INTERNATIONAL AIRPORT NM US,1511.8,35.08333,-106.65,19310718,0,300,183
GHCND:USW00023050,ALBUQUERQUE INTERNATIONAL AIRPORT NM US,1511.8,35.08333,-106.65,19310719,0,322,183
GHCND:USW00023050,ALBUQUERQUE INTERNATIONAL AIRPORT NM US,1511.8,35.08333,-106.65,19310720,0,328,178
GHCND:USW00023050,ALBUQUERQUE INTERNATIONAL AIRPORT NM US,1511.8,35.08333,-106.65,19310721,13,333,178
